 time            v1              v2              v3              v4             
 2.27280000e-11 -2.56228163e-01  8.28764768e-01  9.29944958e-01  5.33128875e-01 
 2.28280000e-11 -3.18077454e-01  7.84303379e-01  9.67736008e-01  5.26068259e-01 
 2.29280000e-11 -3.71665826e-01  7.36868816e-01  9.99605886e-01  5.17596763e-01 
 2.30280000e-11 -4.16452146e-01  6.86940135e-01  1.02523303e+00  5.07800087e-01 
 2.31280000e-11 -4.51984163e-01  6.35021584e-01  1.04435891e+00  4.96777314e-01 
 2.32280000e-11 -4.77903076e-01  5.81637510e-01  1.05679066e+00  4.84639906e-01 
 2.33280000e-11 -4.93947158e-01  5.27327066e-01  1.06240299e+00  4.71510584e-01 
 2.34280000e-11 -4.99954395e-01  4.72638761e-01  1.06113948e+00  4.57522082e-01 
 2.35280000e-11 -4.95864126e-01  4.18124924e-01  1.05301312e+00  4.42815812e-01 
 2.36280000e-11 -4.81717656e-01  3.64336127e-01  1.03810620e+00  4.27540435e-01 
 2.37280000e-11 -4.57657833e-01  3.11815618e-01  1.01656949e+00  4.11850357e-01 
 2.38280000e-11 -4.23927615e-01  2.61093843e-01  9.88620684e-01  3.95904172e-01 
 2.39280000e-11 -3.80867606e-01  2.12683083e-01  9.54542216e-01  3.79863059e-01 
 2.40280000e-11 -3.28912627e-01  1.67072281e-01  9.14678416e-01  3.63889157e-01 
 2.41280000e-11 -2.68587316e-01  1.24722109e-01  8.69432023e-01  3.48143923e-01 
 2.42280000e-11 -2.00500836e-01  8.60603096e-02  8.19260122e-01  3.32786504e-01 
 2.43280000e-11 -1.25340723e-01  5.14773783e-02  7.64669527e-01  3.17972127e-01 
 2.44280000e-11 -4.38659406e-02  2.13226216e-02  7.06211663e-01  3.03850536e-01 
 2.45280000e-11  4.31007819e-02 -4.09937237e-03  6.44476999e-01  2.90564472e-01 
 2.46280000e-11  1.34681257e-01 -2.45318091e-02  5.80089085e-01  2.78248240e-01 
 2.47280000e-11  2.29950709e-01 -3.97682814e-02  5.13698255e-01  2.67026343e-01 
 2.48280000e-11  3.27947109e-01 -4.96548535e-02  4.45975062e-01  2.57012232e-01 
 2.49280000e-11  4.27680893e-01 -5.40916156e-02  3.77603504e-01  2.48307156e-01 
